Feature,Mean Absolute SHAP,SHAP Std,Coefficient of Variation,Mean Rank,Top-K Frequency,Top-K Stability
num__A5_Score,1.8372389191235938,0.05557874655543369,0.030251235142539905,1,5,1.0
num__A4_Score,1.7038165319863143,0.120770214197019,0.07088217066201648,2,5,1.0
num__A7_Score,1.6586225276434388,0.11664643385981728,0.07032729383312299,3,5,1.0
num__A9_Score,1.5876418713181273,0.08533605133699528,0.05375018943418624,4,5,1.0
num__A3_Score,1.501126419032206,0.054058969351785766,0.03601226963058729,5,5,1.0
num__A2_Score,1.4690394338537858,0.11220953645528228,0.07638293014430446,6,5,1.0
num__A8_Score,1.456844832518715,0.06469328567436039,0.044406435215556365,7,5,1.0
num__A1_Score,1.4360297595025635,0.13706306115809846,0.09544583616817015,8,5,1.0
num__A10_Score,1.4343371636634432,0.12501423112730073,0.08715819006460214,9,5,1.0
num__A6_Score,1.3405548010861725,0.0888172766554104,0.06625411850634304,10,5,1.0
cat__relation_Self,0.08928836723154188,0.04622449835389245,0.5176989991767176,11,0,0.0
cat__ethnicity_White-European,0.08324259677157833,0.04906415877726524,0.5894116795983628,12,0,0.0
cat__ethnicity_Asian,0.06379647454242919,0.036259278575598936,0.5683586567386876,13,0,0.0
cat__ethnicity_Middle Eastern,0.05937426485699322,0.03174446810512175,0.5346502930449811,14,0,0.0
cat__contry_of_res_United Kingdom,0.05453774597315898,0.04303020006967306,0.7889985055643953,15,0,0.0
cat__gender_m,0.053946172000261194,0.03623374497840567,0.6716648028006553,16,0,0.0
cat__contry_of_res_India,0.05062337452542297,0.017794291712396364,0.35150346809575295,17,0,0.0
cat__gender_f,0.050528875816984765,0.03429286707236938,0.6786786073883359,18,0,0.0
cat__contry_of_res_Jordan,0.04490416947202457,0.009612892725786895,0.21407572701630204,19,0,0.0
num__age,0.033918295532030504,0.029505173441568534,0.8698896267858015,20,0,0.0
cat__contry_of_res_United Arab Emirates,0.025536634326811802,0.01452848648268093,0.5689272241889357,21,0,0.0
cat__contry_of_res_New Zealand,0.020890208622649557,0.007970141395751942,0.3815252178530455,22,0,0.0
cat__ethnicity_Black,0.020741709277522617,0.013027343565167226,0.6280747353490632,23,0,0.0
cat__ethnicity_?,0.01879649042553902,0.01583291703253514,0.8423336843255996,24,0,0.0
cat__relation_?,0.01879649042553902,0.01583291703253514,0.8423336843255996,25,0,0.0
cat__austim_no,0.016405492357669485,0.01023327002166327,0.6237709785576333,26,0,0.0
cat__austim_yes,0.0158242320630806,0.009947111950475122,0.6285999795012268,27,0,0.0
cat__ethnicity_South Asian,0.014834041512528212,0.006949991919523165,0.46851641298519303,28,0,0.0
cat__contry_of_res_United States,0.013461883567815835,0.012700209524659216,0.9434199501637646,29,0,0.0
cat__relation_Parent,0.00974654541344391,0.00482668924282314,0.4952205153802947,30,0,0.0
cat__jundice_no,0.009625960284680771,0.003478328519624824,0.36134872955588726,31,0,0.0
cat__jundice_yes,0.008948304725344655,0.0037839722973634915,0.42287029929210945,32,0,0.0
cat__contry_of_res_Afghanistan,0.008415071715593784,0.004616074596795743,0.54854845600921,33,0,0.0
cat__relation_Relative,0.008218637029507564,0.0059371019872398135,0.7223949623184109,34,0,0.0
cat__ethnicity_Latino,0.007882704159044556,0.006614977164845971,0.8391761293306936,35,0,0.0
cat__contry_of_res_France,0.007155655782418285,0.005235060870224099,0.7315976382048506,36,0,0.0
cat__contry_of_res_Canada,0.006694502910206668,0.005386898529103989,0.8046749103493465,37,0,0.0
cat__ethnicity_Others,0.0060181036364221965,0.004655321870263942,0.7735529581261187,38,0,0.0
cat__contry_of_res_Russia,0.005886701402439572,0.002401584417558916,0.4079677655407575,39,0,0.0
cat__used_app_before_no,0.005824899380845234,0.00419638866260092,0.7204225151769049,40,0,0.0
cat__used_app_before_yes,0.005664222860484051,0.004187481051363611,0.7392860688051668,41,0,0.0
cat__contry_of_res_Sri Lanka,0.005130977326578609,0.0033210930521016487,0.6472632484455334,42,0,0.0
cat__ethnicity_Hispanic,0.0050494178881828255,0.0031870908209271354,0.6311798491437791,43,0,0.0
cat__contry_of_res_Australia,0.004909441085927993,0.003144423236375287,0.6404849719835107,44,0,0.0
cat__contry_of_res_Netherlands,0.004622344331133435,0.003830119136988377,0.8286096540214263,45,0,0.0
cat__contry_of_res_Malaysia,0.0036671892270299196,0.0019114485486131205,0.521229865785032,46,0,0.0
cat__contry_of_res_Brazil,0.0031724897291803564,0.002216177264781015,0.6985608950587796,47,0,0.0
cat__contry_of_res_Viet Nam,0.0029210635372834094,0.002949739282052111,1.0098168849813414,48,0,0.0
cat__contry_of_res_Philippines,0.001792814474893312,0.001971678109388731,1.0997669513495325,49,0,0.0
cat__contry_of_res_Mexico,0.0016418857832957226,0.0014065433178048169,0.8566633148997077,50,0,0.0
cat__contry_of_res_Italy,0.0013797361130151457,0.0008750218325628603,0.634195064047914,51,0,0.0
cat__contry_of_res_Iran,0.0012959387960083041,0.0012977480311518051,1.001396080701553,52,0,0.0
cat__relation_Others,0.0010641544028586168,0.0006933352537992468,0.6515363296310706,53,0,0.0
cat__contry_of_res_Belgium,0.0009682378593115019,0.0012535760684140296,1.294698463149775,54,0,0.0
cat__contry_of_res_Pakistan,0.0009409061606760283,0.0008690149790466599,0.9235936752951904,55,0,0.0
cat__contry_of_res_Austria,0.0008620935915960358,0.0005739359564358573,0.6657466915782331,56,0,0.0
cat__contry_of_res_Saudi Arabia,0.0008523944978661567,0.0007694783994900876,0.9027256762172476,57,0,0.0
cat__contry_of_res_Bangladesh,0.0007577461501131635,0.000977192917329025,1.2896045953952902,58,0,0.0
cat__contry_of_res_Nepal,0.0007234477097817559,0.0006917408607292269,0.9561725766440063,59,0,0.0
cat__contry_of_res_AmericanSamoa,0.0006823255081398284,0.0007224057757338626,1.0587406847844543,60,0,0.0
cat__contry_of_res_Sweden,0.0006108406725525275,0.0008417067431181119,1.377948098316475,61,0,0.0
cat__contry_of_res_Iceland,0.0005076330867760941,0.0003208835824595592,0.6321171547296994,62,0,0.0
cat__ethnicity_Pasifika,0.00043336763770469264,0.00021887212055248258,0.5050495272598722,63,0,0.0
cat__contry_of_res_Bahamas,0.00036395037769065136,0.0008138177849530193,2.23606797749979,64,0,0.0
cat__contry_of_res_Sierra Leone,0.0003101289342362408,0.0006934693787417962,2.23606797749979,65,0,0.0
cat__relation_Health care professional,0.00024643570251577156,0.00033590063647437595,1.3630356033857502,66,0,0.0
cat__contry_of_res_Burundi,0.00014317086222090386,0.00032013978032319754,2.23606797749979,67,0,0.0
cat__contry_of_res_Ireland,8.12446153244791e-05,3.7076953547468364e-05,0.4563619804141904,68,0,0.0
cat__contry_of_res_Argentina,5.255123114116952e-05,7.282611675189566e-05,1.3858118101222268,69,0,0.0
cat__contry_of_res_Germany,2.2079854279449894e-05,2.3695889704041664e-05,1.073190493204289,70,0,0.0
cat__contry_of_res_Spain,1.8923599094698565e-05,2.6435868132639025e-05,1.3969788728004187,71,0,0.0
cat__contry_of_res_Romania,1.081385393187604e-05,1.3990758586771212e-05,1.2937809845508084,72,0,0.0
cat__ethnicity_others,9.321316449721109e-06,2.0843097221363403e-05,2.2360679774997902,73,0,0.0
cat__ethnicity_Turkish,7.934164314495088e-06,7.502246743882389e-06,0.9455623108506059,74,0,0.0
cat__contry_of_res_Finland,5.331675987740385e-06,7.600462122746261e-06,1.4255296346257174,75,0,0.0
cat__contry_of_res_China,3.3598538646106817e-06,5.603927777261513e-06,1.6679081897839805,76,0,0.0
cat__contry_of_res_Kazakhstan,2.913468545111176e-06,3.328929943142807e-06,1.1426002689230261,77,0,0.0
cat__contry_of_res_South Africa,1.897310687794691e-06,2.77230092521064e-06,1.4611739358475762,78,0,0.0
cat__contry_of_res_Ethiopia,1.14876970384197e-06,1.0796349154972426e-06,0.9398184091088827,79,0,0.0
cat__contry_of_res_Armenia,1.0854307576570937e-06,2.045039759168402e-06,1.8840812688804098,80,0,0.0
