Feature,SHAP_Value,Absolute_SHAP
num__A9_Score,-1.6904291,1.6904291
num__A7_Score,-1.5431502,1.5431502
num__A3_Score,-1.4909905,1.4909905
num__A6_Score,-1.190364,1.190364
num__A2_Score,-1.0575392,1.0575392
num__A4_Score,0.89453614,0.89453614
num__A5_Score,0.87537706,0.87537706
num__A8_Score,0.6913398,0.6913398
num__A10_Score,0.6688255,0.6688255
num__A1_Score,0.4065279,0.4065279
cat__ethnicity_White-European,-0.19117185,0.19117185
num__age,0.1658962,0.1658962
cat__contry_of_res_United States,-0.1251964,0.1251964
cat__gender_f,0.038614545,0.038614545
cat__contry_of_res_New Zealand,0.034631446,0.034631446
cat__relation_Self,0.027740093,0.027740093
cat__gender_m,0.02320105,0.02320105
cat__austim_no,-0.012858333,0.012858333
cat__ethnicity_Asian,0.009401031,0.009401031
cat__ethnicity_Middle Eastern,0.0063141533,0.0063141533
cat__jundice_no,-0.00580624,0.00580624
cat__jundice_yes,-0.0054961303,0.0054961303
cat__austim_yes,-0.0036164997,0.0036164997
cat__ethnicity_?,-0.0027874243,0.0027874243
cat__ethnicity_Others,-0.0018372061,0.0018372061
cat__ethnicity_Latino,-0.0016464012,0.0016464012
cat__ethnicity_Black,-0.0012784204,0.0012784204
cat__contry_of_res_United Kingdom,0.0011050594,0.0011050594
cat__relation_Parent,2.8456561e-05,2.8456561e-05
cat__contry_of_res_Afghanistan,0.0,0.0
cat__ethnicity_Pasifika,0.0,0.0
cat__ethnicity_others,0.0,0.0
cat__ethnicity_Hispanic,0.0,0.0
cat__ethnicity_Turkish,0.0,0.0
cat__ethnicity_South Asian,0.0,0.0
cat__contry_of_res_Aruba,0.0,0.0
cat__contry_of_res_Armenia,0.0,0.0
cat__contry_of_res_Argentina,0.0,0.0
cat__contry_of_res_Angola,0.0,0.0
cat__contry_of_res_AmericanSamoa,0.0,0.0
cat__contry_of_res_Australia,0.0,0.0
cat__contry_of_res_Azerbaijan,0.0,0.0
cat__contry_of_res_Austria,0.0,0.0
cat__contry_of_res_Burundi,0.0,0.0
cat__contry_of_res_Canada,0.0,0.0
cat__contry_of_res_Chile,0.0,0.0
cat__contry_of_res_Bahamas,0.0,0.0
cat__contry_of_res_Bangladesh,0.0,0.0
cat__contry_of_res_Belgium,0.0,0.0
cat__contry_of_res_Bolivia,0.0,0.0
cat__contry_of_res_Brazil,0.0,0.0
cat__contry_of_res_Egypt,0.0,0.0
cat__contry_of_res_Ethiopia,0.0,0.0
cat__contry_of_res_Finland,0.0,0.0
cat__contry_of_res_France,0.0,0.0
cat__contry_of_res_Germany,0.0,0.0
cat__contry_of_res_Hong Kong,0.0,0.0
cat__contry_of_res_Iceland,0.0,0.0
cat__contry_of_res_India,0.0,0.0
cat__contry_of_res_Indonesia,0.0,0.0
cat__contry_of_res_Iran,0.0,0.0
cat__contry_of_res_Iraq,0.0,0.0
cat__contry_of_res_China,0.0,0.0
cat__contry_of_res_Costa Rica,0.0,0.0
cat__contry_of_res_Cyprus,0.0,0.0
cat__contry_of_res_Czech Republic,0.0,0.0
cat__contry_of_res_Ecuador,0.0,0.0
cat__contry_of_res_Kazakhstan,0.0,0.0
cat__contry_of_res_Jordan,0.0,0.0
cat__contry_of_res_Japan,0.0,0.0
cat__contry_of_res_Italy,0.0,0.0
cat__contry_of_res_Ireland,0.0,0.0
cat__contry_of_res_Malaysia,0.0,0.0
cat__contry_of_res_Mexico,0.0,0.0
cat__contry_of_res_Netherlands,0.0,0.0
cat__contry_of_res_Romania,0.0,0.0
cat__contry_of_res_Russia,0.0,0.0
cat__contry_of_res_Saudi Arabia,0.0,0.0
cat__contry_of_res_Serbia,0.0,0.0
cat__contry_of_res_Nicaragua,0.0,0.0
cat__contry_of_res_Pakistan,0.0,0.0
cat__contry_of_res_Philippines,0.0,0.0
cat__contry_of_res_Portugal,0.0,0.0
cat__contry_of_res_Sri Lanka,0.0,0.0
cat__contry_of_res_Spain,0.0,0.0
cat__contry_of_res_South Africa,0.0,0.0
cat__contry_of_res_Sierra Leone,0.0,0.0
cat__contry_of_res_United Arab Emirates,0.0,0.0
cat__contry_of_res_Turkey,0.0,0.0
cat__contry_of_res_Sweden,0.0,0.0
cat__contry_of_res_Tonga,0.0,0.0
cat__contry_of_res_Viet Nam,0.0,0.0
cat__contry_of_res_Uruguay,0.0,0.0
cat__used_app_before_no,0.0,0.0
cat__used_app_before_yes,0.0,0.0
cat__relation_Health care professional,0.0,0.0
cat__relation_?,0.0,0.0
cat__relation_Others,0.0,0.0
cat__relation_Relative,0.0,0.0
