Feature,Min_ASD_Rate,Max_ASD_Rate,Mutual_Information
A9_Score,0.07352941176470588,0.6754385964912281,0.2000051291539668
A6_Score,0.10317460317460317,0.685,0.1670423350583955
A5_Score,0.031161473087818695,0.5071225071225072,0.16661317100780115
A4_Score,0.061971830985915494,0.4785100286532951,0.12139555936603899
A3_Score,0.08900523560209424,0.4813664596273292,0.10209962143281562
A10_Score,0.07,0.4158415841584158,0.08403804375020557
A7_Score,0.13658536585365855,0.4523809523809524,0.061949253863329945
A1_Score,0.05612244897959184,0.35039370078740156,0.05417826425049978
A2_Score,0.14285714285714285,0.4200626959247649,0.049178181179934694
A8_Score,0.12550607287449392,0.34573304157549234,0.030643433696446773
