Model_A,Model_B,Pearson_Probability_Correlation,Spearman_Probability_Correlation
Logistic Regression,Decision Tree,0.6324789850346234,0.6461488739267691
Logistic Regression,Random Forest,0.9325251449528577,0.9098846067363813
Logistic Regression,SVM,0.987553840342806,0.9701271458538464
Logistic Regression,XGBoost,0.9730557107386315,0.9532352195195102
Decision Tree,Random Forest,0.7136805270740679,0.6846875366547751
Decision Tree,SVM,0.6622578746024724,0.6634153224580663
Decision Tree,XGBoost,0.6814683179468007,0.6701322040754916
Random Forest,SVM,0.937257944996835,0.9438658593374653
Random Forest,XGBoost,0.9348454549870049,0.9539913393662206
SVM,XGBoost,0.9777690491824176,0.9788399937119476
