Feature,Mean_Signed_Probability_Change,Mean_Absolute_Probability_Change,Median_Absolute_Probability_Change,Maximum_Absolute_Probability_Change,Increase_Rate,Decrease_Rate,No_Change_Rate,Prediction_Change_Rate,Prediction_Change_Count,Sensitivity_Rank
A9_Score,-0.009631062467090015,0.14088526769378157,0.009384857881476472,0.7274681640314371,0.6808510638297872,0.3191489361702128,0.0,0.1276595744680851,18,1
A5_Score,-0.079093579530483,0.13246819357333792,0.0043686583693803155,0.6818763485967339,0.45390070921985815,0.5460992907801419,0.0,0.16312056737588654,23,2
A7_Score,-0.003068972128946227,0.127687883197233,0.003965923048406576,0.6700794067258433,0.5957446808510638,0.40425531914893614,0.0,0.14893617021276595,21,3
A1_Score,-0.09227312055039492,0.12635418929164177,0.003585297949569658,0.7088068156334855,0.2695035460992908,0.7304964539007093,0.0,0.14893617021276595,21,4
A6_Score,0.024544263038670664,0.12296049219524326,0.006119143011620618,0.6641496546365119,0.723404255319149,0.2765957446808511,0.0,0.11347517730496454,16,5
A4_Score,-0.043704943673411586,0.11445587938812325,0.003965007531522957,0.6654084372907909,0.5319148936170213,0.46808510638297873,0.0,0.1276595744680851,18,6
A8_Score,-0.06144175897099118,0.10413051642561949,0.0031013147608613934,0.642845330759175,0.2907801418439716,0.7092198581560284,0.0,0.1276595744680851,18,7
A3_Score,-0.02045598705589382,0.10098793738306522,0.004188093497424994,0.6218329515291211,0.5177304964539007,0.48226950354609927,0.0,0.11347517730496454,16,8
A2_Score,-0.002036800163870931,0.09720450640746468,0.00284379382149884,0.5731718555787463,0.624113475177305,0.375886524822695,0.0,0.1347517730496454,19,9
A10_Score,-0.05186644805875183,0.09432655516252768,0.003664421772500831,0.6452153913477289,0.41134751773049644,0.5886524822695035,0.0,0.10638297872340426,15,10
